key,en,he,context,notes
trope.tradition.primary_tip,"Both names are always shown on each card; this picks which one leads. Note the classic collision: Ashkenazi 'pashta' is Sephardi 'kadma', while Ashkenazi 'kadma' is Sephardi 'azla'.",,tooltip,
trope.tradition.sephardi,Sephardi,,radio label,
worksheet.actions.copy_link,📋 Copy shareable link,,action button,leading-emoji
worksheet.actions.copy_link_title,Copy shareable link,,mobile FAB button title,aria-label only
worksheet.actions.disabled_hint,Generate a worksheet first,,disabled-button title + FAB toast,
worksheet.actions.export_pdf,⬇ Export PDF,,action button,leading-emoji
worksheet.actions.generate,⬡ Generate Worksheet,,primary action button,leading-emoji
worksheet.actions.generate_mob,⬡ Generate,,mobile FAB button,leading-emoji
worksheet.actions.pdf_mob,⬇ PDF,,mobile FAB button,leading-emoji
worksheet.actions.print,🖨 Print,,action button,leading-emoji
worksheet.actions.print_tip,"💡 Print tip: In the print dialog, uncheck Headers and footers to remove the URL and date.",,tip box,leading-emoji;html
worksheet.actions.regenerate,↺ Regenerate,,action button,leading-emoji
worksheet.advanced.backup_auto_explainer,Save all your presets and current settings to a .ivrit save file on your device. Restore later by dropping the file below or browsing for it.,,backup panel explainer,html
worksheet.advanced.backup_manual_explainer,Export your saved presets as text you can copy and store. Paste it back to restore.,,backup panel explainer,
worksheet.advanced.backup_placeholder,Paste backup here to import…,,textarea placeholder,
worksheet.advanced.backup_title,Backup Presets,,sub-panel title,
worksheet.advanced.colorcode_enable,Enable color coding,,toggle-row label,
worksheet.advanced.colorcode_title,Color Code Nikkud,,sub-panel title,
worksheet.advanced.colormode.highlight,Highlight,,color-mode button,
worksheet.advanced.colormode.letter,Letter,,color-mode button,
worksheet.advanced.colormode.underline,Underline,,color-mode button,
worksheet.advanced.copy,Copy,,textarea copy button,
worksheet.advanced.export_backup,⬆ Export backup,,button,leading-emoji
worksheet.advanced.font_title,Hebrew Font,,sub-panel title,
worksheet.advanced.hide_zoom_bar,Hide Zoom Bar,,toggle-row label,
worksheet.advanced.import_backup,⬇ Import from backup,,button,leading-emoji
worksheet.advanced.live_preview,Live update preview,,toggle-row label,
worksheet.advanced.live_preview_tooltip,"When on, the worksheet updates as you change settings (after your first Generate). Turn it off to update only when you click Generate.",,tooltip,
worksheet.advanced.panel_title,Advanced,,panel title,
worksheet.advanced.reset_scheme_confirm,Are you sure? This resets your custom vowel colors for both the Default and TaL AM schemes.,,confirm dialog,
worksheet.advanced.scheme.default,Default,,vowel-scheme button,
worksheet.advanced.scheme.reset,Reset,,vowel-scheme reset button,
worksheet.advanced.scheme.talam,TaL AM,,vowel-scheme button,
worksheet.advanced.translit.ashkenazi,Ashkenazi,,translit-style option,
worksheet.advanced.translit.brill,Brill Academic,,translit-style option,
worksheet.advanced.translit.default,Default (built-in),,translit-style option,
worksheet.advanced.translit.modern,Modern Israeli,,translit-style option,
worksheet.advanced.translit.sbl,SBL Academic,,translit-style option,
worksheet.advanced.translit.simple,Simple Stressed,,translit-style option,
worksheet.advanced.translit_credit,Powered by hebrew-transliteration by Charles Loder,,credit line,html
worksheet.advanced.translit_failed,Library failed to load — using default style.,,status,
worksheet.advanced.translit_loading,Loading library…,,status,
worksheet.advanced.translit_style,Style,,select label,
worksheet.advanced.translit_title,Transliteration,,sub-panel title,
worksheet.advanced.tts_fast,Fast,,tts range high label,
worksheet.advanced.tts_slow,Slow,,tts slider label,
worksheet.advanced.tts_slower,Slower,,tts range low label,
worksheet.advanced.tts_speed,Hebrew TTS Reading Speed,,advanced section label,
worksheet.common.all,All,,select-all button,
worksheet.common.all_match,All cards match,,toggle-row label,
worksheet.common.audio,Audio,,toggle-row label,
worksheet.common.beta,BETA,,inline badge,
worksheet.common.both,Both,,segmented option,
worksheet.common.caller_sheet,Caller sheet,,toggle-row label,
worksheet.common.cards,Cards,,select label,
worksheet.common.dagesh_tav,Dagesh Tav / Sav,,letter control checkbox,
worksheet.common.fewer_cards,Fewer cards,,stepper button title,aria-label only
worksheet.common.free_space,Free space,,toggle-row label,
worksheet.common.grid_size,Grid Size,,select label,
worksheet.common.grid_size_lc,Grid size,,select label,
worksheet.common.include_dageshim,Include dageshim,,toggle-row label,
worksheet.common.inverse_show_numbers,Inverse (show numbers),,toggle-row label,
worksheet.common.main,Main,,select-main button,
worksheet.common.more_cards,More cards,,stepper button title,aria-label only
worksheet.common.no_sofit,No Sofit,,letter control button,
worksheet.common.none,None,,clear button,
worksheet.common.num_pairs,Number of Pairs,,select label,
worksheet.common.num_words,Number of Words,,select label,
worksheet.common.per_page,Per page,,select label,
worksheet.common.reset_default,Reset to default,,slider reset button title,aria-label only
worksheet.common.self_check,Self Check,,toggle-row label,
worksheet.common.self_check_mode,Student Self-Check Mode,,toggle-row label,
worksheet.common.show_answer_key,Show Answer Key,,toggle-row label,
worksheet.common.show_nikkud,Show Nikkud,,toggle-row label,
worksheet.common.show_transliteration,Show Transliteration,,toggle-row label,
worksheet.common.show_word_bank,Show Word Bank,,toggle-row label,
worksheet.common.size,Size,,slider label,
worksheet.common.translit,Translit,,segmented option,
worksheet.empty.cant_place_body,Try a larger grid or shorter words.,,worksheet empty state,print-adjacent empty state
worksheet.empty.cant_place_title,Could not place any words.,,worksheet empty state,print-adjacent empty state
worksheet.empty.emoji_failed_body,"Check your connection and try again, or choose a different match target.",,worksheet empty state,print-adjacent empty state
worksheet.empty.emoji_failed_title,Couldn't load emoji.,,worksheet empty state,print-adjacent empty state
worksheet.empty.loading_emoji,Loading emoji…,,worksheet empty state / pool note,print-adjacent empty state
worksheet.empty.loosen_emoji,Loosen your Word Filters — only words with a matching emoji can be used.,,worksheet empty state,print-adjacent empty state
worksheet.empty.loosen_pairs,Loosen your Word Filters or lower the number of pairs.,,worksheet empty state,print-adjacent empty state
worksheet.empty.no_emoji_words,No emoji words match.,,worksheet empty state,print-adjacent empty state
worksheet.empty.no_words_match_body,Loosen your Word Filters or pick a larger grid size.,,worksheet empty state,print-adjacent empty state
worksheet.empty.no_words_match_title,No words match.,,worksheet empty state,print-adjacent empty state
worksheet.empty.not_enough_words,Not enough words to match.,,worksheet empty state,print-adjacent empty state
worksheet.empty.pick_direction_body,Word Search needs somewhere to hide the words — enable at least one arrow under Drill Options → Directions.,,worksheet empty state,print-adjacent empty state
worksheet.empty.pick_direction_title,Pick at least one direction.,,worksheet empty state,print-adjacent empty state
worksheet.empty.ready_body,"Select your letters and vowels on the left, then click Generate Worksheet.",,main empty-state,html
worksheet.empty.ready_title,Ready to Generate,,main empty-state h2,
worksheet.empty.select_letter,Please select at least one letter.,,worksheet empty state,print-adjacent empty state
worksheet.empty.select_letters_vowels,Please select letters and vowels.,,worksheet empty state,print-adjacent empty state
worksheet.empty.select_more_letters,Please select more letters.,,worksheet empty state,print-adjacent empty state
worksheet.empty.select_vowel,Please select at least one vowel.,,worksheet empty state,print-adjacent empty state
worksheet.empty.too_few_intersect,Too few words intersect — try a larger grid or more words.,,worksheet empty state,print-adjacent empty state
worksheet.faq.a1,"A Hebrew blend worksheet pairs Hebrew letters with vowels (nikkud) so students can practice decoding syllables one, two, or three letters at a time.",,footer FAQ answer,
worksheet.faq.a2,Yes. All worksheets are free under CC BY-NC-SA 4.0 for non-commercial educational use.,,footer FAQ answer,
worksheet.faq.a3,Yes. The generator outputs print-ready PDFs sized for standard letter and A4 paper.,,footer FAQ answer,
worksheet.faq.a4,"Yes. Choose any combination of nikkud — kamatz, patach, segol, tzere, hirik, holam, kubutz, shuruk, shva, and hataf vowels.",,footer FAQ answer,
worksheet.faq.a5,Designed for emerging Hebrew readers — elementary students and adult beginners — but fully customizable for any level.,,footer FAQ answer,
worksheet.faq.q1,What is a Hebrew blend worksheet?,,footer FAQ question,
worksheet.faq.q2,Are these Hebrew worksheets free?,,footer FAQ question,
worksheet.faq.q3,Can I print the worksheets?,,footer FAQ question,
worksheet.faq.q4,Do they include nikkud?,,footer FAQ question,
worksheet.faq.q5,What ages is it for?,,footer FAQ question,
worksheet.faq.title,Frequently Asked Questions,,footer FAQ heading,
worksheet.glyphname.alef,Alef,,letter tile name,glyph-name
worksheet.glyphname.ayin,Ayin,,letter tile name,glyph-name
worksheet.glyphname.bet,Bet,,letter tile name,glyph-name
worksheet.glyphname.chaf,Chaf,,letter tile name,glyph-name
worksheet.glyphname.chet,Chet,,letter tile name,glyph-name
worksheet.glyphname.chirik,Chirik,,vowel name,glyph-name
worksheet.glyphname.dalet,Dalet,,letter tile name,glyph-name
worksheet.glyphname.feh,Feh,,letter tile name,glyph-name
worksheet.glyphname.gimel,Gimel,,letter tile name,glyph-name
worksheet.glyphname.hataf_kamatz,Hataf Kamatz,,vowel name,glyph-name
worksheet.glyphname.hataf_patach,Hataf Patach,,vowel name,glyph-name
worksheet.glyphname.hataf_segol,Hataf Segol,,vowel name,glyph-name
worksheet.glyphname.heh,Heh,,letter tile name,glyph-name
worksheet.glyphname.holam,Holam,,vowel name,glyph-name
worksheet.glyphname.kaf,Kaf,,letter tile name,glyph-name
worksheet.glyphname.kamatz,Kamatz,,vowel name,glyph-name
worksheet.glyphname.koof,Koof,,letter tile name,glyph-name
worksheet.glyphname.kubutz,Kubutz,,vowel name,glyph-name
worksheet.glyphname.lamed,Lamed,,letter tile name,glyph-name
worksheet.glyphname.mem,Mem,,letter tile name,glyph-name
worksheet.glyphname.nun,Nun,,letter tile name,glyph-name
worksheet.glyphname.patach,Patach,,vowel name,glyph-name
worksheet.glyphname.peh,Peh,,letter tile name,glyph-name
worksheet.glyphname.resh,Resh,,letter tile name,glyph-name
worksheet.glyphname.samech,Samech,,letter tile name,glyph-name
worksheet.glyphname.sav,Sav,,letter tile name,glyph-name
worksheet.glyphname.segol,Segol,,vowel name,glyph-name
worksheet.glyphname.shin,Shin,,letter tile name,glyph-name
worksheet.glyphname.shuruk,Shuruk,,vowel name,glyph-name
worksheet.glyphname.shva,Shva,,vowel name,glyph-name
worksheet.glyphname.sin,Sin,,letter tile name,glyph-name
worksheet.glyphname.sofit_suffix,{name} sofit,,sofit letter tile name,glyph-name;mixed UI+content — do not translate {…}
worksheet.glyphname.tav,Tav,,letter tile name,glyph-name
worksheet.glyphname.tet,Tet,,letter tile name,glyph-name
worksheet.glyphname.tzadi,Tzadi,,letter tile name,glyph-name
worksheet.glyphname.tzere,Tzere,,vowel name,glyph-name
worksheet.glyphname.vav,Vav,,letter tile name,glyph-name
worksheet.glyphname.vav_holam,Vav Holam,,letter/vowel tile name,glyph-name
worksheet.glyphname.vav_shuruk,Vav Shuruk,,letter tile name,glyph-name
worksheet.glyphname.vet,Vet,,letter tile name,glyph-name
worksheet.glyphname.yud,Yud,,letter tile name,glyph-name
worksheet.glyphname.zayin,Zayin,,letter tile name,glyph-name
worksheet.header_sub,"Free printable Hebrew worksheets, bingo cards, and decoding drills for Hebrew reading practice with nikkud.",,header subtitle,
worksheet.home_link,← Home,,header nav button,leading-emoji
worksheet.howto.step1,"Pick a practice type (1, 2, or 3 letters).",,footer how-to step,
worksheet.howto.step2,Select the Hebrew letters to include.,,footer how-to step,
worksheet.howto.step3,Select the nikkud (vowels) to include.,,footer how-to step,
worksheet.howto.step4,Click Generate Worksheet.,,footer how-to step,html
worksheet.howto.step5,Click Print or Export PDF to download.,,footer how-to step,html
worksheet.howto.title,How To Use,,footer section heading,
worksheet.layout.class_set,Class Set,,layout option label,
worksheet.layout.class_set_tooltip,"Generates multiple unique worksheet versions from the same settings — each with a different random selection and order of blends. Print one per student for variety drills or low-stakes assessment. Each version is labeled 'Version A', 'Version B', etc. in the header.",,tooltip,
